market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
317004,108.96,108.96,112,110,112.96,88.97,107.04,63,108.96,87.99,106,96.96,100,73.01,86,64.02,84,72.03,76,80,80,84,92.96,69.02,87.04,63.98,66,74,80,77,60,84,76,70,76,87.99,87.04,80.99,76.96,78,87.04,76.02,84.96,66.01,91.04,73.01,83.04,91.04,86.476908,20.4294603
317005,108.96,108.96,112,108.96,119.04,95.97,108.96,69,110,94.01,106,96,106,73.01,96.96,72,80.96,73.01,78,87.04,76,86.03,87.04,70.98,84.96,70,78,78,86,77,67.98,83.04,76,67.97,78,90.02,86,86.03,84,70.98,92,77,84,69.02,96,74.97,86,92.96,86.5661006,20.5854927
318001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.1248967,21.2148488
318002,2.1,2.1,10.99,10.88,9.31,10.57,11.84,4.8,13.2,5.4,12.6,15.12,6.6,7.38,11.2,8.88,11.6,4,7.77,5.7,3.81,NaN,2.19,4.72,4.72,4.2,5.6,10.8,7.63,3,6.6,NaN,8.08,2.49,NaN,NaN,NaN,NaN,2.2,2.3,NaN,NaN,2.58,1.11,0.99,2.52,1.29,NaN,85.6666046,22.0649923
318003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,85.5816847,21.628933
318004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.7025453,21.6256543
318005,2.9,2.9,13.93,10.16,16.48,11.97,9.44,4.8,11.52,5,8.88,10.72,3.51,8.4,10.16,8.1,9.68,4.08,9.59,4.6,2.19,NaN,3.51,4.6,5.1,3.52,7.4,8.16,6.72,4.72,3.6,NaN,7.36,2.01,NaN,NaN,NaN,NaN,0.9,1.71,NaN,NaN,2.88,1.2,1.41,2.4,0.99,NaN,85.5689288,21.8244308
318006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.9594238,21.7252779
319001,560,560,900,910.02,972.02,820,1210.02,160,880,680,840,746,640,1130.01,840,NaN,560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,450,200,140,84.99,600,300,640.01,570,654.99,410,624,661.99,529.98,660,589.98,580.02,670.02,460,630,679.98,809.97,679.98,739.97,660,85.7810807,20.2509277
319002,54,54,60,73.02,69,73.98,69,44,73.99,33.99,60,84,80.01,59,80.99,73.99,94,73.02,100.96,44,92.96,69,70.98,80.01,42,46.98,36,61.02,57.47,46.02,51,51,52.99,37,45.01,55.5,66.01,42,43.02,75.04,20,62.02,66.99,58.03,65.03,45,59.01,55.02,85.1129236,20.1783322
